"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Lesser Rhea","Rhea pennata",pennata,"Andrew Spencer",2011-11-17,08:40,"PN Torres del Paine, XII Region",Chile,-51.0289,-72.782,150,call,"high-pitched calls from one of twenty-two chicks running away from me, with two low-pitched booms (at 3s and 19s) from the male guarding them.  The clicking sounds throughout are some kind of mechanical noise made by the male (with its bill I believe), possibly a threatening sound towards the recordist?",,90569,//creativecommons.org/licenses/by-nc-nd/2.5/
"Lesser Rhea","Rhea pennata",pennata,"Andrew Spencer",2011-10-26,17:00,"Estancia San Gregorio, XII Region",Chile,-52.571,-70.087,10,call,"natural vocalization; calls from one of a trio of birds walking away from me as I was approaching them.",,89244,//creativecommons.org/licenses/by-nc-nd/2.5/
"Lesser Rhea","Rhea pennata",,"Fabrice Schmitt",2018-11-01,14:00,"Pali Aike road, San Gregorio region, XII región",Chile,-52.1898,-69.8011,200,call,"calls of an excited bird coming towards the vehicle.","Zonotrichia capensis",543987,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Tinamou","Nothoprocta perdicaria",,"Cristian Pinto",2017-11-26,19:30,Naltahua,Chile,-33.7178,-71.0214,260,"call, song","bird-seen:no playback-used:no",,439564,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Tinamou","Nothoprocta perdicaria",,"Guillermo Egli",1977-08-00,?:?,"La Reina, Region Metropolitana",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,53882,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chilean Tinamou","Nothoprocta perdicaria",,"Bernabe Lopez-Lanus",2006-09-24,?:?,"Parque Mahuida, La Reina, Santiago",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,52208,//creativecommons.org/licenses/by-nc-sa/3.0/
"Chilean Tinamou","Nothoprocta perdicaria",,"Peter Boesman",2018-11-30,17:00,"Vilches area, VII Región",Chile,-35.574342,-71.312507,,Call,"Intervals shortened",,450009,//creativecommons.org/licenses/by-nc-nd/4.0/
"Chilean Tinamou","Nothoprocta perdicaria",,"Peter Boesman",2018-11-30,17:00,"Vilches area, VII Región",Chile,-35.574342,-71.312507,,Call,"Intervals shortened",,450008,//creativecommons.org/licenses/by-nc-nd/4.0/
"Chilean Tinamou","Nothoprocta perdicaria",,"Guillermo Egli",1977-08-00,?:?,"La Reina, Region Metropolitana",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,53883,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chilean Tinamou","Nothoprocta perdicaria",,"Bernabe Lopez-Lanus",2006-09-24,?:?,"Parque Mahuida, La Reina, Santiago",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,52207,//creativecommons.org/licenses/by-nc-sa/3.0/
